Company;Product;TypeName;Inches;ScreenResolution;Cpu;Ram(GB);Memory;Gpu;OpSys;Weight (Kg);Price_euros
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;AMD Radeon 530;Windows 10;2.2;91900
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16;256GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.2;113500
Lenovo;IdeaPad Y700-15ISK;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 960;Windows 10;3.31;119600
Dell;Alienware 17;Gaming;173;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 7700HQ 2.8GHz;32;512GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.42;314737
Dell;Latitude E7470;Notebook;14;Full HD 1920x1080;Intel Core i5 6300U 2.4GHz;8;256GB SSD;Intel HD Graphics 520;Windows 10;1.56;122900
Lenovo;Ideapad 320-15IAP;Notebook;156;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;500GB HDD;Intel HD Graphics 500;Windows 10;2.2;41900
Lenovo;IdeaPad 320-15ISK;Notebook;156;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;4;500GB HDD;Intel HD Graphics 520;Windows 10;2.2;53500
HP;15-ay047nv (i3-6006U/6GB/1TB/Radeon;Notebook;156;1920x1080;Intel Core i3 6006U 2GHz;6;1TB HDD;AMD Radeon R5 M430;Windows 10;2.04;53900
MSI;GP72VR Leopard;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.7;148677
Toshiba;Satellite Pro;Notebook;156;1366x768;Intel Core i3 6100U 2.1GHz;4;128GB SSD;Intel HD Graphics 520;Windows 10;2.1;49800
Dell;Latitude 3580;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;1TB HDD;Intel HD Graphics 620;Windows 10;2.06;95500
HP;15-bs012nv (i7-7500U/8GB/1TB/Radeon;Notebook;156;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;1TB HDD;AMD Radeon 530;Windows 10;2.1;74500
Toshiba;Tecra Z50-D-10E;Notebook;156;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;2.0;125800
Acer;Aspire 3;Notebook;156;1366x768;Intel Core i3 6006U 2GHz;4;128GB SSD;Intel HD Graphics 520;Linux;2.1;41200
Microsoft;Surface Laptop;Ultrabook;135;Touchscreen 2256x1504;Intel Core i7 7600U 2.8GHz;8;256GB SSD;Intel Iris Plus Graphics 640;Windows 10 S;1.252;186785
Lenovo;V310-15ISK (i5-7200U/8GB/1TB;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;128GB SSD +  1TB HDD;AMD Radeon R5 M430;Windows 10;1.90;81795
Lenovo;Yoga 720-13IKB;2 in 1 Convertible;133;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.3;103400
Lenovo;IdeaPad 320-15AST;Notebook;156;1366x768;AMD E-Series E2-9000 2.2GHz;4;128GB SSD;AMD Radeon R2 Graphics;Windows 10;2.2;34900
HP;Pavilion X360;2 in 1 Convertible;14;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i3 7100U 2.4GHz;4;128GB SSD;Nvidia GeForce 940MX;Windows 10;1.63;69900
MSI;GP62 7RDX;Gaming;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.4;129400
Asus;Zenbook 3;Ultrabook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.1;113500
HP;Chromebook X360;2 in 1 Convertible;116;Touchscreen 1366x768;Intel Celeron Dual Core N3350 1.1GHz;8;64GB Flash Storage;Intel HD Graphics 500;Chrome OS;1.4;49500
LG;Gram 15Z975;Ultrabook;156;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;512GB SSD;Intel HD Graphics 620;Windows 10;1.09;229900
Acer;Aspire VX5-591G;Gaming;156;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;16;256GB SSD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.5;129900
MSI;GV62M 7RD;Gaming;156;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.2;99790
Asus;L502NA-GO052T (N3350/4GB/128GB/W10);Notebook;156;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;128GB SSD;Intel HD Graphics 500;Windows 10;1.86;41900
Dell;Alienware 15;Gaming;156;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;16;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;3.21;205100
HP;17-bs000nv I3;Notebook;173;IPS Panel Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;256GB SSD;AMD Radeon R5 520;Windows 10;2.5;69900
Lenovo;Yoga 730;2 in 1 Convertible;133;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 8550U 1.8GHz;8;512GB SSD;Intel UHD Graphics 620;Windows 10;1.19;149900
Dell;Alienware 15;Gaming;156;Full HD 1920x1080;Intel Core i7 7820HK 2.9GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;3.49;281375
HP;250 G6;Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;4;500GB HDD;AMD Radeon 520;Windows 10;1.86;61261
Dell;Inspiron 3567;Notebook;156;1366x768;Intel Core i3 6006U 2GHz;4;1TB HDD;AMD Radeon R5 M430;Windows 10;2.2;54567
HP;17-Y002nv (A10-9600P/6GB/2TB/Radeon;Notebook;173;IPS Panel Full HD 1920x1080;AMD A10-Series 9600P 2.4GHz;6;2TB HDD;AMD Radeon R7 M440;Windows 10;2.65;56900
Lenovo;V110-15ISK (3855U/4GB/500GB/W10);Notebook;156;1366x768;Intel Celeron Dual Core 3855U 1.6GHz;4;500GB HDD;Intel HD Graphics 510;Windows 10;2.1;31800
Acer;Chromebook 14;Notebook;14;1366x768;Intel Celeron Dual Core 3855U 1.6GHz;4;32GB Flash Storage;Intel HD Graphics 510;Chrome OS;1.45;37500
Lenovo;IdeaPad 520s-14IKB;Notebook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4;256GB SSD;Intel HD Graphics 620;Windows 10;1.7;69900
HP;ZBook 17;Workstation;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;500GB HDD;Nvidia Quadro M1200;Windows 10;3.14;190799
Lenovo;ThinkPad X1;2 in 1 Convertible;14;Touchscreen 2560x1440;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.42;259000
Toshiba;Satellite Pro;Notebook;133;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.5;97300
Acer;TravelMate B117-M;Netbook;116;1366x768;Intel Celeron Dual Core N3050 1.6GHz;4;32GB Flash Storage;Intel HD Graphics;Windows 10;1.4;26900
Lenovo;Yoga 910-13IKB;2 in 1 Convertible;14;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;16;512GB SSD;Intel HD Graphics 620;Windows 10;1.38;174900
Asus;Chromebook Flip;2 in 1 Convertible;125;Full HD / Touchscreen 1920x1080;Intel Core M M3-6Y30 0.9GHz;4;64GB Flash Storage;Intel HD Graphics 515;Chrome OS;1.2;66900
Toshiba;Portege Z30T-C-133;Ultrabook;133;Full HD / Touchscreen 1920x1080;Intel Core i7 6500U 2.5GHz;16;512GB SSD;Intel HD Graphics 520;Windows 10;1.36;187700
HP;15-bs011nv (i7-7500U/4GB/500GB/Radeon;Notebook;156;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;4;500GB HDD;AMD Radeon 530;Windows 10;2.1;68900
Dell;Inspiron 5577;Gaming;156;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.56;81900
Lenovo;IdeaPad 320-15AST;Notebook;156;Full HD 1920x1080;AMD A9-Series 9420 2.9GHz;4;256GB SSD;AMD Radeon 530;Windows 10;2.2;39900
Lenovo;IdeaPad 320-15ABR;Notebook;156;1366x768;AMD A12-Series 9720P 3.6GHz;8;1TB HDD;AMD Radeon R7;Windows 10;2.2;42900
Lenovo;V310-15IKB (i5-7200U/4GB/1TB/FHD/W10);Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4;1TB HDD +  1TB HDD;Intel HD Graphics 620;Windows 10;2.1;62145
Lenovo;V310-15ISK (i3-6006U/4GB/500GB/No;Notebook;156;1366x768;Intel Core i3 6006U 2GHz;4;500GB HDD;Intel HD Graphics 520;No OS;1.90;45000
Dell;Vostro 5568;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;2.18;79500
Acer;Spin 5;2 in 1 Convertible;133;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1.6;99900
Lenovo;ThinkPad P51s;Workstation;156;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;16;512GB SSD;Nvidia Quadro M520M;Windows 7;2.18;185500
Lenovo;Thinkpad T460p;Notebook;14;Full HD 1920x1080;Intel Core i5 6300HQ 2.3GHz;8;256GB SSD;Intel HD Graphics 520;Windows 10;1.8;119100
HP;17-ak002nv (A10-9620P/6GB/2TB/Radeon;Notebook;173;IPS Panel Full HD 1920x1080;AMD A10-Series 9620P 2.5GHz;6;2TB HDD;AMD Radeon 530;Windows 10;2.71;65501
Lenovo;Legion Y520-15IKBN;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.5;124900
Dell;Latitude 5480;Notebook;14;Full HD 1920x1080;Intel Core i5 7440HQ 2.8GHz;8;256GB SSD;Nvidia GeForce 930MX;Linux;1.64;108900
Dell;Vostro 5568;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;1TB HDD;Intel HD Graphics 620;Linux;1.98;72600
Asus;VivoBook E403NA;Notebook;14;Full HD 1920x1080;Intel Celeron Dual Core N3350 1.1GHz;4;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.5;29800
Dell;Latitude 5580;Notebook;156;Full HD 1920x1080;Intel Core i5 7300U 2.6GHz;16;512GB SSD;Intel HD Graphics 620;Windows 10;1.93;142666
Lenovo;Thinkpad E470;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Nvidia GeForce 920MX;Windows 10;1.87;85707
Dell;Latitude 5580;Notebook;156;Full HD 1920x1080;Intel Core i5 7300U 2.6GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.9;117900
Lenovo;110-15ACL (A6-7310/4GB/500GB/W10);Notebook;156;1366x768;AMD A6-Series 7310 2GHz;4;500GB HDD;AMD Radeon R4;Windows 10;2.19;29800
Mediacom;Smartbook 142;Notebook;14;IPS Panel Full HD 1920x1200;Intel Atom Z8350 1.92GHz;4;32GB HDD;Intel HD Graphics 400;Windows 10;1.4;26500
HP;ProBook 470;Notebook;173;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Nvidia GeForce 930MX;Windows 10;2.63;120000
Lenovo;ThinkPad X1;Ultrabook;14;IPS Panel Quad HD+ 2560x1440;Intel Core i7 6500U 2.5GHz;8;512GB SSD;Intel HD Graphics 520;Windows 10;1.17;168664
HP;Pavilion X360;2 in 1 Convertible;133;IPS Panel Touchscreen 1366x768;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.58;83660
Lenovo;ThinkPad T470s;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.32;149900
Dell;Alienware 17;Gaming;173;4K Ultra HD 3840x2160;Intel Core i7 7700HQ 2.8GHz;32;1TB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.36;365940
MSI;GL72M 7REX;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.7;134848
Lenovo;V310-15IKB (i5-7200U/4GB/1TB/No;Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;4;1TB HDD;Intel HD Graphics 620;No OS;1.9;48990
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.2;71900
Dell;Inspiron 5378;2 in 1 Convertible;133;Full HD / Touchscreen 1920x1080;Intel Core i3 7100U 2.4GHz;4;1TB HDD;Intel HD Graphics 620;Windows 10;1.71;64900
Dell;Inspiron 5567;Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;8;1TB HDD;AMD Radeon R7 M445;Linux;2.32;58952
HP;15-BW037na (A9-9420/4GB/1TB/Radeon;Notebook;156;Full HD 1920x1080;AMD A9-Series 9420 3GHz;4;1TB HDD;AMD Radeon 520;Windows 10;2.1;48900
Acer;Predator 17;Gaming;173;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;4.2;193500
Dell;Inspiron 3567;Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;12;1TB HDD;Intel HD Graphics 620;Windows 10;2.25;64900
HP;15-BW091ND (A9-9420/6GB/1TB;Notebook;156;Full HD 1920x1080;AMD A9-Series A9-9420 3GHz;6;128GB SSD +  1TB HDD;AMD Radeon 520;Windows 10;2.1;65000
Acer;Extensa EX2540-58KR;Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;4;500GB HDD;Intel HD Graphics 620;Windows 10;2.4;55900
Lenovo;ThinkPad 13;Notebook;133;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.44;96000
Lenovo;V310-15IKB (i7-7500U/4GB/1TB/FHD/W10);Notebook;156;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;4;1TB HDD;Intel HD Graphics 620;Windows 10;1.85;77900
HP;ZBook 15;Workstation;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD;Nvidia Quadro M2200;Windows 10;2.6;241900
Dell;Inspiron 5379;2 in 1 Convertible;133;Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8;1TB HDD;Intel UHD Graphics 620;Windows 10;1.55;65900
MSI;GS63VR 7RF;Gaming;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;1.8;209448
Acer;Aspire ES1-572;Notebook;156;1366x768;Intel Core i3 6006U 2GHz;4;500GB HDD;Intel HD Graphics 520;Windows 10;2.4;41080
Dell;Inspiron 7560;Notebook;156;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce 940MX;Windows 10;2.0;120700
Dell;Vostro 3568;Notebook;156;1366x768;Intel Core i3 6006U 2GHz;8;256GB SSD;Intel HD Graphics 520;Windows 10;2;66500
Toshiba;Tecra X40-D-10G;Notebook;14;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.25;153500
Lenovo;Flex 5;2 in 1 Convertible;14;Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.7;99900
Lenovo;Thinkpad P51s;Workstation;156;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 7600U 2.8GHz;16;1TB SSD;Nvidia Quadro M520M;Windows 10;2.5;329900
Acer;Chromebook 14;Notebook;14;1366x768;Intel Celeron Dual Core N3060 1.6GHz;2;32GB Flash Storage;Intel HD Graphics 400;Chrome OS;1.68;33000
Samsung;Notebook 9;Ultrabook;133;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16;256GB SSD;Intel HD Graphics 620;Windows 10;0.81;164900
HP;250 G6;Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;8;256GB SSD;Intel HD Graphics 520;Windows 10;1.86;53900
Dell;Latitude 5480;Notebook;14;1366x768;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.6;112671
HP;Zbook 17;Workstation;173;IPS Panel Full HD 1920x1080;Intel Xeon E3-1535M v5 2.9GHz;16;256GB SSD;Nvidia Quadro M2000M;Windows 7;3;438900
Lenovo;N23 (N3060/4GB/128GB/W10);Netbook;116;Touchscreen 1366x768;Intel Celeron Dual Core N3060 1.6GHz;4;128GB SSD;Intel HD Graphics 400;Windows 10;1.4;47500
HP;EliteBook 850;Notebook;156;Full HD 1920x1080;Intel Core i5 6300U 2.4GHz;8;256GB SSD;Intel HD Graphics 520;Windows 10;1.84;190000
Asus;X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce;Notebook;156;1366x768;Intel Core i5 6300HQ 2.3GHz;4;1TB HDD;Nvidia GeForce GTX 950M;No OS;2.45;57900
Lenovo;Thinkpad T460;Ultrabook;14;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;4;180GB SSD;Intel HD Graphics 520;Windows 10;1.7;109600
Asus;Pro P2540UA-XO0192R;Notebook;156;1366x768;Intel Core i7 7500U 2.7GHz;4;256GB SSD;Intel HD Graphics 620;Windows 10;2.37;84990
Lenovo;Yoga 900-13ISK;2 in 1 Convertible;133;IPS Panel Quad HD+ / Touchscreen 3200x1800;Intel Core i5 6260U 1.8GHz;8;256GB SSD;Intel HD Graphics 540;Windows 10;1.3;119900
HP;15-cb003na (i5-7300HQ/8GB/1TB;Notebook;156;IPS Panel Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.2;109900
HP;ZBook 15;Workstation;156;Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;8;256GB SSD;Nvidia Quadro M1000M;Windows 7;2.59;156100
Dell;Alienware 17;Gaming;156;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.42;286899
Acer;Aspire 3;Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;4;256GB SSD;Intel HD Graphics 620;Windows 10;2.1;59900
Lenovo;Legion Y520-15IKBN;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.5;104800
Dell;Latitude 7280;Ultrabook;125;Full HD 1920x1080;Intel Core i7 7600U 2.8GHz;16;256GB SSD;Intel HD Graphics 620;Windows 10;1.18;185900
Google;Pixelbook (Core;Ultrabook;123;Touchscreen 2400x1600;Intel Core i5 7Y57 1.2GHz;8;256GB SSD;Intel HD Graphics 615;Chrome OS;1.1;155900
Asus;Zenbook UX330UA-AH5Q;Ultrabook;133;IPS Panel Quad HD+ 3200x1800;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.2;112900
Dell;Latitude 3380;Notebook;133;1366x768;Intel Core i3 6006U 2GHz;4;500GB HDD;Intel HD Graphics 520;Windows 10;1.65;84900
Acer;TravelMate P238-M;Notebook;133;1366x768;Intel Core i5 6200U 2.3GHz;4;128GB SSD;Intel HD Graphics 520;Windows 10;1.6;65500
Asus;X751NV-TY001 (N4200/4GB/1TB/GeForce;Notebook;173;1366x768;Intel Pentium Quad Core N4200 1.1GHz;4;1TB HDD;Nvidia GeForce 920MX;Windows 10;2.8;47034
Dell;Inspiron 7559;Gaming;156;IPS Panel Touchscreen / 4K Ultra HD 3840x2160;Intel Core i7 6700HQ 2.6GHz;16;128GB SSD +  1TB HDD;Nvidia GeForce GTX 960M;Windows 10;2.72;109900
Samsung;Notebook 9;Ultrabook;133;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.31;159900
Acer;Aspire A315-31;Notebook;156;1366x768;Intel Pentium Quad Core N4200 1.1GHz;4;1TB HDD;Intel HD Graphics 505;Linux;2.1;29800
Dell;Inspiron 5567;Notebook;156;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16;256GB SSD;AMD Radeon R7 M445;Windows 10;2.3;118127
Samsung;Notebook 9;2 in 1 Convertible;15;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;16;256GB SSD;AMD Radeon 540;Windows 10;1.71;179900
Toshiba;Tecra A40-C-1E5;Notebook;14;IPS Panel 1366x768;Intel Core i5 6200U 2.3GHz;4;128GB SSD;Intel HD Graphics 520;Windows 10;1.75;102000
Dell;Inspiron 7567;Gaming;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.62;109900
HP;EliteBook 820;Ultrabook;125;1366x768;Intel Core i5 6200U 2.3GHz;4;256GB SSD;Intel HD Graphics 520;Windows 10;1.26;124400
Asus;Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce;2 in 1 Convertible;156;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;12;2TB HDD;Nvidia GeForce 940MX;Windows 10;2.3;83900
Lenovo;Thinkpad P50;Notebook;156;4K Ultra HD 3840x2160;Intel Core i7 6820HQ 2.7GHz;16;512GB SSD;Nvidia Quadro M2000M;Windows 7;2.5;237000
Acer;Swift 3;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;4;128GB SSD;Intel HD Graphics 620;Windows 10;1.8;63600
Razer;Blade Pro;Gaming;14;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;512GB SSD;Nvidia GeForce GTX 1060;Windows 10;1.95;289900
Asus;Vivobook Max;Notebook;156;1920x1080;Intel Pentium Dual Core N4200 1.1GHz;8;128GB SSD;Intel HD Graphics 505;Windows 10;2;58190
Dell;Alienware 17;Gaming;173;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;32;1TB SSD +  1TB HDD;Nvidia GeForce GTX 1070M;Windows 10;4.42;358880
Asus;Rog G752VS-BA171T;Gaming;173;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.3;235000
Toshiba;Tecra Z40-C-161;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i7 6600U 2.6GHz;16;512GB SSD;Nvidia GeForce 930M;Windows 10;1.47;176400
Lenovo;IdeaPad 110-15IBR;Notebook;156;1366x768;Intel Celeron Quad Core N3710 1.6GHz;8;1TB HDD;Intel HD Graphics 405;No OS;2.2;32900
Lenovo;ThinkPad T470s;Ultrabook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16;512GB SSD;Intel HD Graphics 620;Windows 10;1.7;229900
MSI;GS43VR 7RE;Gaming;14;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;1.6;189100
MSI;GL62M (i5-7300HQ/8GB/1TB;Gaming;156;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.2;108900
Lenovo;Legion Y520-15IKBN;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;4;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.4;99900
Acer;Predator G9-793;Gaming;173;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;4.2;229900
Dell;Inspiron 7567;Gaming;156;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.62;98500
Asus;FX502VM-DM560T (i7-7700HQ/8GB/1TB;Gaming;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX1060;Windows 10;2.24;133900
Vero;K146 (N3350/4GB/32GB/W10);Notebook;14;1920x1080;Intel Celeron Dual Core N3350 1.1GHz;4;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.22;20290
Lenovo;ThinkPad Yoga;2 in 1 Convertible;133;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;8;512GB SSD;Intel HD Graphics 620;Windows 10;1.37;197000
Lenovo;Yoga 510-15IKB;2 in 1 Convertible;156;Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;AMD Radeon R7 M460;Windows 10;2.08;95900
Apple;"MacBook 12""";Ultrabook;12;IPS Panel Retina Display 2304x1440;Intel Core M 1.2GHz;8;512GB Flash Storage;Intel HD Graphics 5300;Mac OS X;0.920;116500
Lenovo;ThinkPad X1;2 in 1 Convertible;14;IPS Panel Touchscreen 2560x1440;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.42;233000
Asus;R417NA-RS01 (N3350/4GB/32GB/W10);Notebook;14;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.63;29900
Dell;Latitude 3580;Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;8;128GB SSD;Intel HD Graphics 620;Windows 10;1.95;81000
Lenovo;Yoga 910-13IKB;2 in 1 Convertible;139;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.38;134900
Dell;Vostro 5568;Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;8;256GB SSD;AMD Radeon R5 M420X;Windows 10;2;73900
HP;ZBook 17;Workstation;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD;Nvidia Quadro M2200;Windows 10;3.14;206490
Asus;Pro P2540UA-XS51;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;2.37;109900
Dell;XPS 13;Ultrabook;133;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.29;149900
Dell;XPS 15;Notebook;156;4K Ultra HD / Touchscreen 3840x2160;Intel Core i5 7300HQ 2.5GHz;8;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.06;174900
Dell;Latitude 3180;Netbook;116;1366x768;Intel Pentium Quad Core N4200 1.1GHz;4;128GB SSD;Intel HD Graphics 505;Windows 10;1.63;74400
